Latitude (decimal degrees):	36.958
Longitude (decimal degrees):	-2.567
Elevation (m):	510
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. (optimum)
Azimuth: -6 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0009,0.0,0.0,9.11,1.45,0.0
20190101:0109,0.0,0.0,8.03,1.59,0.0
20190101:0209,0.0,0.0,6.83,1.66,0.0
20190101:0309,0.0,0.0,6.29,1.72,0.0
20190101:0409,0.0,0.0,5.93,1.72,0.0
20190101:0509,0.0,0.0,5.67,1.79,0.0
20190101:0609,0.0,0.0,5.49,1.86,0.0
20190101:0709,0.0,0.0,6.87,1.72,0.0
20190101:0809,305.63,7.03,6.19,1.86,0.0
20190101:0909,595.59,16.05,8.38,1.45,0.0
20190101:1009,791.09,23.32,12.63,0.69,0.0
20190101:1109,915.03,28.18,15.64,1.17,0.0
20190101:1209,948.41,30.03,16.32,1.38,0.0
20190101:1309,903.18,28.58,16.61,1.59,0.0
20190101:1409,765.27,24.07,16.6,1.66,0.0
20190101:1509,556.35,17.07,16.24,1.59,0.0
20190101:1609,286.3,8.22,15.44,1.38,0.0
20190101:1709,0.0,0.0,14.34,1.24,0.0
20190101:1809,0.0,0.0,12.79,1.38,0.0
20190101:1909,0.0,0.0,11.56,1.52,0.0
20190101:2009,0.0,0.0,10.61,1.66,0.0
20190101:2109,0.0,0.0,9.56,1.79,0.0
20190101:2209,0.0,0.0,8.31,1.93,0.0
20190101:2309,0.0,0.0,7.56,2.0,0.0
20190102:0009,0.0,0.0,6.9,2.14,0.0
20190102:0109,0.0,0.0,6.31,2.21,0.0
20190102:0209,0.0,0.0,5.99,2.21,0.0
20190102:0309,0.0,0.0,5.99,2.21,0.0
20190102:0409,0.0,0.0,5.79,2.28,0.0
20190102:0509,0.0,0.0,5.64,2.34,0.0
20190102:0609,0.0,0.0,5.38,2.34,0.0
20190102:0709,0.0,0.0,5.46,2.34,0.0
20190102:0809,309.94,7.02,5.1,2.34,0.0
20190102:0909,601.69,16.06,8.23,1.93,0.0
20190102:1009,803.9,23.35,13.58,1.59,0.0
20190102:1109,921.88,28.24,16.66,1.52,0.0
20190102:1209,963.39,30.11,17.78,2.0,0.0
20190102:1309,917.88,28.69,18.22,2.14,0.0
20190102:1409,790.25,24.19,18.27,2.0,0.0
20190102:1509,565.01,17.19,17.83,1.66,0.0
20190102:1609,297.26,8.36,16.81,0.9,0.0
20190102:1709,0.0,0.0,15.5,0.62,0.0
20190102:1809,0.0,0.0,13.53,1.17,0.0
20190102:1909,0.0,0.0,12.59,1.17,0.0
20190102:2009,0.0,0.0,11.08,1.59,0.0
20190102:2109,0.0,0.0,9.86,1.86,0.0
20190102:2209,0.0,0.0,9.25,2.07,0.0
20190102:2309,0.0,0.0,9.07,2.07,0.0
20190103:0009,0.0,0.0,8.58,2.21,0.0
20190103:0109,0.0,0.0,7.9,2.48,0.0
20190103:0209,0.0,0.0,7.55,2.62,0.0
20190103:0309,0.0,0.0,7.27,2.76,0.0
20190103:0409,0.0,0.0,6.96,2.9,0.0
20190103:0509,0.0,0.0,6.74,3.03,0.0
20190103:0609,0.0,0.0,6.57,2.97,0.0
20190103:0709,0.0,0.0,6.55,2.55,0.0
20190103:0809,305.46,7.01,6.33,2.55,0.0
20190103:0909,603.93,16.08,8.21,2.48,0.0
20190103:1009,783.58,23.39,11.15,3.24,0.0
20190103:1109,915.07,28.3,12.32,3.59,0.0
20190103:1209,949.75,30.2,12.94,3.86,0.0
20190103:1309,788.99,28.8,13.24,3.93,0.0
20190103:1409,731.6,24.32,13.27,4.0,0.0
20190103:1509,536.72,17.33,12.9,3.79,0.0
20190103:1609,144.44,8.5,12.27,3.52,0.0
20190103:1709,0.0,0.0,11.33,2.9,0.0
20190103:1809,0.0,0.0,10.44,2.69,0.0
20190103:1909,0.0,0.0,9.69,2.55,0.0
20190103:2009,0.0,0.0,8.93,2.34,0.0
20190103:2109,0.0,0.0,8.38,2.14,0.0
20190103:2209,0.0,0.0,7.77,1.86,0.0
20190103:2309,0.0,0.0,7.27,1.72,0.0
20190104:0009,0.0,0.0,6.62,1.79,0.0
20190104:0109,0.0,0.0,6.12,1.86,0.0
20190104:0209,0.0,0.0,5.44,1.86,0.0
20190104:0309,0.0,0.0,5.18,1.79,0.0
20190104:0409,0.0,0.0,4.71,1.86,0.0
20190104:0509,0.0,0.0,4.33,1.93,0.0
20190104:0609,0.0,0.0,4.15,2.0,0.0
20190104:0709,0.0,0.0,3.99,1.66,0.0
20190104:0809,285.92,7.01,3.98,1.79,0.0
20190104:0909,548.97,16.1,6.76,1.59,0.0
20190104:1009,785.25,23.43,10.5,1.86,0.0
20190104:1109,918.0,28.37,11.69,1.93,0.0
20190104:1209,959.49,30.3,12.44,1.93,0.0
20190104:1309,928.7,28.92,12.87,1.86,0.0
20190104:1409,773.74,24.45,13.05,1.72,0.0
20190104:1509,566.08,17.47,13.03,1.72,0.0
20190104:1609,313.22,8.64,12.5,1.86,0.0
20190104:1709,0.0,0.0,11.51,1.59,0.0
20190104:1809,0.0,0.0,10.28,1.24,0.0
20190104:1909,0.0,0.0,9.78,0.76,0.0
20190104:2009,0.0,0.0,8.96,1.03,0.0
20190104:2109,0.0,0.0,8.52,1.17,0.0
20190104:2209,0.0,0.0,8.61,1.17,0.0
20190104:2309,0.0,0.0,8.14,1.24,0.0
20190105:0009,0.0,0.0,7.47,1.31,0.0
20190105:0109,0.0,0.0,6.63,1.45,0.0
20190105:0209,0.0,0.0,5.34,1.59,0.0
20190105:0309,0.0,0.0,4.52,1.59,0.0
20190105:0409,0.0,0.0,4.12,1.59,0.0
20190105:0509,0.0,0.0,3.74,1.59,0.0
20190105:0609,0.0,0.0,3.38,1.66,0.0
20190105:0709,0.0,0.0,4.05,1.52,0.0
20190105:0809,317.13,7.02,3.94,1.45,0.0
20190105:0909,601.24,16.12,6.91,0.97,0.0
20190105:1009,806.03,23.49,10.57,0.34,0.0
20190105:1109,933.31,28.45,12.83,0.97,0.0
20190105:1209,970.57,30.41,13.61,1.24,0.0
20190105:1309,921.14,29.05,14.15,1.31,0.0
20190105:1409,783.38,24.59,14.58,1.52,0.0
20190105:1509,570.69,17.62,14.51,1.93,0.0
20190105:1609,309.66,8.79,13.57,1.93,0.0
20190105:1709,0.0,0.0,12.35,1.66,0.0
20190105:1809,0.0,0.0,11.36,1.66,0.0
20190105:1909,0.0,0.0,10.12,1.59,0.0
20190105:2009,0.0,0.0,8.85,1.72,0.0
20190105:2109,0.0,0.0,7.67,1.86,0.0
20190105:2209,0.0,0.0,6.42,2.0,0.0
20190105:2309,0.0,0.0,5.46,2.07,0.0
20190106:0009,0.0,0.0,4.69,2.21,0.0
20190106:0109,0.0,0.0,4.32,2.34,0.0
20190106:0209,0.0,0.0,4.11,2.48,0.0
20190106:0309,0.0,0.0,3.91,2.55,0.0
20190106:0409,0.0,0.0,3.68,2.55,0.0
20190106:0509,0.0,0.0,3.49,2.55,0.0
20190106:0609,0.0,0.0,3.44,2.55,0.0
20190106:0709,0.0,0.0,3.42,2.55,0.0
20190106:0809,315.94,7.03,3.55,2.55,0.0
20190106:0909,595.27,16.16,6.85,2.07,0.0
20190106:1009,800.41,23.55,12.73,1.59,0.0
20190106:1109,920.59,28.54,16.15,1.93,0.0
20190106:1209,963.43,30.52,17.04,2.48,0.0
20190106:1309,922.37,29.19,17.4,2.48,0.0
20190106:1409,791.23,24.74,17.49,2.34,0.0
20190106:1509,582.58,17.77,16.97,2.14,0.0
20190106:1609,309.09,8.94,15.94,1.72,0.0
20190106:1709,0.0,0.0,14.71,1.38,0.0
20190106:1809,0.0,0.0,13.16,1.1,0.0
20190106:1909,0.0,0.0,12.08,0.76,0.0
20190106:2009,0.0,0.0,10.98,1.1,0.0
20190106:2109,0.0,0.0,9.58,1.38,0.0
20190106:2209,0.0,0.0,8.18,1.59,0.0
20190106:2309,0.0,0.0,6.93,1.66,0.0
20190107:0009,0.0,0.0,6.06,1.72,0.0
20190107:0109,0.0,0.0,5.69,1.66,0.0
20190107:0209,0.0,0.0,5.61,1.59,0.0
20190107:0309,0.0,0.0,5.32,1.59,0.0
20190107:0409,0.0,0.0,4.97,1.66,0.0
20190107:0509,0.0,0.0,4.84,1.66,0.0
20190107:0609,0.0,0.0,4.73,1.72,0.0
20190107:0709,0.0,0.0,5.71,1.66,0.0
20190107:0809,303.38,7.05,5.48,1.66,0.0
20190107:0909,592.52,16.2,8.23,1.24,0.0
20190107:1009,792.38,23.61,12.7,0.14,0.0
20190107:1109,906.5,28.64,14.43,0.9,0.0
20190107:1209,950.82,30.64,14.93,1.31,0.0
20190107:1309,909.94,29.33,15.22,1.72,0.0
20190107:1409,768.62,24.89,15.16,1.93,0.0
20190107:1509,565.3,17.92,14.73,2.0,0.0
20190107:1609,308.08,9.09,13.78,1.86,0.0
20190107:1709,0.0,0.0,12.69,1.45,0.0
20190107:1809,0.0,0.0,11.68,1.38,0.0
20190107:1909,0.0,0.0,10.31,1.24,0.0
20190107:2009,0.0,0.0,9.61,1.31,0.0
20190107:2109,0.0,0.0,8.97,1.45,0.0
20190107:2209,0.0,0.0,8.2,1.59,0.0
20190107:2309,0.0,0.0,7.38,1.72,0.0
20190108:0009,0.0,0.0,6.5,1.93,0.0
20190108:0109,0.0,0.0,5.6,2.07,0.0
20190108:0209,0.0,0.0,4.99,2.21,0.0
20190108:0309,0.0,0.0,4.45,2.21,0.0
20190108:0409,0.0,0.0,4.05,2.21,0.0
